district,mandal,date,rain_(mm),min_humidity_(%),max_humidity_(%),date_yyyy_mm,_qc_missing,_qc_outlier_rain,_qc_imputed
Hanumakonda,Elkathurthi,2025-06-27,0.0,69.8,98.0,2025-06,False,False,False
Hanumakonda,Elkathurthi,2025-06-28,0.0,56.6,82.4,2025-06,False,False,False
Hanumakonda,Elkathurthi,2025-06-29,0.0,55.4,79.5,2025-06,False,False,False
Hanumakonda,Elkathurthi,2025-06-30,39.2,56.7,98.0,2025-06,False,True,False
Hanumakonda,Hanumakonda,2025-04-06,6.2,56.9,80.6,2025-04,False,True,False
Hanumakonda,Hanumakonda,2025-08-06,0.0,47.1,77.1,2025-08,False,False,False
Hanumakonda,Hanumakonda,2025-12-06,0.0,68.1,87.4,2025-12,False,False,False
Hanumakonda,Hanumakonda,2025-02-06,0.0,53.0,79.2,2025-02,False,False,False
Hanumakonda,Hanumakonda,2025-01-06,0.0,58.8,83.8,2025-01,False,False,False
Hanumakonda,Hanumakonda,2025-07-06,0.0,47.3,79.5,2025-07,False,False,False
Hanumakonda,Hanumakonda,2025-06-06,0.8,51.0,88.9,2025-06,False,False,False
Hanumakonda,Hanumakonda,2025-03-06,0.0,54.3,88.0,2025-03,False,False,False
Hanumakonda,Hanumakonda,2025-05-06,0.0,51.1,72.4,2025-05,False,False,False
Hanumakonda,Hanumakonda,2025-11-06,0.2,57.3,83.9,2025-11,False,False,False
Hanumakonda,Hanumakonda,2025-10-06,0.0,66.9,80.2,2025-10,False,False,False
Hanumakonda,Hanumakonda,2025-09-06,0.0,48.8,75.9,2025-09,False,False,False
Hanumakonda,Hanumakonda,2025-06-13,0.3,61.3,92.7,2025-06,False,False,False
Hanumakonda,Hanumakonda,2025-06-14,7.3,58.8,90.3,2025-06,False,True,False
Hanumakonda,Hanumakonda,2025-06-15,0.0,59.5,84.2,2025-06,False,False,False
Hanumakonda,Hanumakonda,2025-06-16,0.0,63.6,80.7,2025-06,False,False,False
Hanumakonda,Hanumakonda,2025-06-17,0.0,63.1,80.6,2025-06,False,False,False
Hanumakonda,Hanumakonda,2025-06-18,0.0,56.1,73.5,2025-06,False,False,False
Hanumakonda,Hanumakonda,2025-06-19,0.0,53.2,71.9,2025-06,False,False,False
Hanumakonda,Hanumakonda,2025-06-20,0.0,58.8,75.2,2025-06,False,False,False
Hanumakonda,Hanumakonda,2025-06-21,1.8,54.8,86.0,2025-06,False,False,False
Hanumakonda,Hanumakonda,2025-06-22,0.0,51.1,76.3,2025-06,False,False,False
Hanumakonda,Hanumakonda,2025-06-23,4.2,53.6,92.3,2025-06,False,False,False
Hanumakonda,Hanumakonda,2025-06-24,1.7,64.6,88.2,2025-06,False,False,False
Hanumakonda,Hanumakonda,2025-06-25,11.1,65.6,94.2,2025-06,False,True,False
Hanumakonda,Hanumakonda,2025-06-26,52.6,65.7,94.7,2025-06,False,True,False
Hanumakonda,Hanumakonda,2025-06-27,0.0,69.3,93.9,2025-06,False,False,False
Hanumakonda,Hanumakonda,2025-06-28,0.0,60.0,81.0,2025-06,False,False,False
Hanumakonda,Hanumakonda,2025-06-29,0.0,58.0,80.0,2025-06,False,False,False
Hanumakonda,Hanumakonda,2025-06-30,24.2,59.5,94.0,2025-06,False,True,False
Hanumakonda,Hasanparthy,2025-04-06,0.3,54.3,87.0,2025-04,False,False,False
Hanumakonda,Hasanparthy,2025-08-06,0.0,34.9,83.0,2025-08,False,False,False
Hanumakonda,Hasanparthy,2025-12-06,0.0,61.2,93.4,2025-12,False,False,False
Hanumakonda,Hasanparthy,2025-02-06,0.0,46.9,82.1,2025-02,False,False,False
Hanumakonda,Hasanparthy,2025-01-06,0.0,57.1,93.0,2025-01,False,False,False
Hanumakonda,Hasanparthy,2025-07-06,0.0,40.2,84.8,2025-07,False,False,False
Hanumakonda,Hasanparthy,2025-06-06,0.0,46.9,89.3,2025-06,False,False,False
Hanumakonda,Hasanparthy,2025-03-06,0.0,49.6,86.8,2025-03,False,False,False
Hanumakonda,Hasanparthy,2025-05-06,0.2,46.9,79.4,2025-05,False,False,False
Hanumakonda,Hasanparthy,2025-11-06,2.5,47.8,98.9,2025-11,False,False,False
Hanumakonda,Hasanparthy,2025-10-06,0.0,61.2,90.7,2025-10,False,False,False
Hanumakonda,Hasanparthy,2025-09-06,0.0,35.2,93.0,2025-09,False,False,False
Hanumakonda,Hasanparthy,2025-06-13,1.9,55.2,100.0,2025-06,False,False,False
Hanumakonda,Hasanparthy,2025-06-14,0.8,56.4,98.7,2025-06,False,False,False
Hanumakonda,Hasanparthy,2025-06-15,0.0,49.7,89.3,2025-06,False,False,False
Hanumakonda,Hasanparthy,2025-06-16,0.0,59.1,83.4,2025-06,False,False,False
Hanumakonda,Hasanparthy,2025-06-17,0.0,58.1,83.4,2025-06,False,False,False
Hanumakonda,Hasanparthy,2025-06-18,0.0,49.6,73.3,2025-06,False,False,False
Hanumakonda,Hasanparthy,2025-06-19,0.0,46.9,71.9,2025-06,False,False,False
Hanumakonda,Hasanparthy,2025-06-20,0.0,53.8,77.2,2025-06,False,False,False
Hanumakonda,Hasanparthy,2025-06-21,4.3,48.5,89.0,2025-06,False,False,False
Hanumakonda,Hasanparthy,2025-06-22,0.2,46.9,93.0,2025-06,False,False,False
Hanumakonda,Hasanparthy,2025-06-23,1.3,45.8,100.0,2025-06,False,False,False
Hanumakonda,Hasanparthy,2025-06-24,4.2,58.1,98.9,2025-06,False,False,False
Hanumakonda,Hasanparthy,2025-06-25,17.1,64.3,100.0,2025-06,False,True,False
Hanumakonda,Hasanparthy,2025-06-26,32.2,63.9,100.0,2025-06,False,True,False
Hanumakonda,Hasanparthy,2025-06-27,2.6,73.4,99.8,2025-06,False,False,False
Hanumakonda,Hasanparthy,2025-06-28,0.1,58.4,85.7,2025-06,False,False,False
Hanumakonda,Hasanparthy,2025-06-29,0.0,56.5,89.3,2025-06,False,False,False
Hanumakonda,Hasanparthy,2025-06-30,23.7,58.6,100.0,2025-06,False,True,False
Hanumakonda,Inole,2025-04-06,0.3,46.0,81.2,2025-04,False,False,False
Hanumakonda,Inole,2025-08-06,0.0,23.8,84.7,2025-08,False,False,False
Hanumakonda,Inole,2025-12-06,0.0,55.5,100.0,2025-12,False,False,False
Hanumakonda,Inole,2025-02-06,0.0,31.7,79.6,2025-02,False,False,False
Hanumakonda,Inole,2025-01-06,0.0,39.0,100.0,2025-01,False,False,False
Hanumakonda,Inole,2025-07-06,0.0,26.3,100.0,2025-07,False,False,False
Hanumakonda,Inole,2025-06-06,8.4,26.9,100.0,2025-06,False,True,False
Hanumakonda,Inole,2025-03-06,0.0,34.8,99.0,2025-03,False,False,False
Hanumakonda,Inole,2025-05-06,0.0,26.7,68.0,2025-05,False,False,False
Hanumakonda,Inole,2025-11-06,2.8,39.0,100.0,2025-11,False,False,False
Hanumakonda,Inole,2025-10-06,0.0,52.7,85.6,2025-10,False,False,False
Hanumakonda,Inole,2025-09-06,0.0,25.0,74.4,2025-09,False,False,False
Hanumakonda,Inole,2025-06-13,0.0,43.4,100.0,2025-06,False,False,False
Hanumakonda,Inole,2025-06-14,0.0,39.5,100.0,2025-06,False,False,False
Hanumakonda,Inole,2025-06-15,0.0,38.5,91.2,2025-06,False,False,False
Hanumakonda,Inole,2025-06-16,0.0,49.7,79.5,2025-06,False,False,False
Hanumakonda,Inole,2025-06-17,0.0,47.0,79.5,2025-06,False,False,False
Hanumakonda,Inole,2025-06-18,0.0,32.9,74.2,2025-06,False,False,False
Hanumakonda,Inole,2025-06-19,0.0,31.7,68.6,2025-06,False,False,False
Hanumakonda,Inole,2025-06-20,0.0,37.1,68.1,2025-06,False,False,False
Hanumakonda,Inole,2025-06-21,0.0,34.2,78.0,2025-06,False,False,False
Hanumakonda,Inole,2025-06-22,0.0,28.5,73.6,2025-06,False,False,False
Hanumakonda,Inole,2025-06-23,0.0,30.4,90.4,2025-06,False,False,False
Hanumakonda,Inole,2025-06-24,0.5,46.2,93.0,2025-06,False,False,False
Hanumakonda,Inole,2025-06-25,7.6,49.8,100.0,2025-06,False,True,False
Hanumakonda,Inole,2025-06-26,24.9,48.1,100.0,2025-06,False,True,False
Hanumakonda,Inole,2025-06-27,0.5,81.5,100.0,2025-06,False,False,False
Hanumakonda,Inole,2025-06-28,0.0,39.5,100.0,2025-06,False,False,False
Hanumakonda,Inole,2025-06-29,0.0,39.5,72.3,2025-06,False,False,False
Hanumakonda,Inole,2025-06-30,12.2,39.2,100.0,2025-06,False,True,False
Hanumakonda,Kamalapur,2025-04-06,0.0,48.0,85.6,2025-04,False,False,False
Hanumakonda,Kamalapur,2025-08-06,0.0,34.4,79.2,2025-08,False,False,False
Hanumakonda,Kamalapur,2025-12-06,0.0,65.0,100.0,2025-12,False,False,False
Hanumakonda,Kamalapur,2025-02-06,0.0,41.5,84.7,2025-02,False,False,False
Hanumakonda,Kamalapur,2025-01-06,0.0,58.5,100.0,2025-01,False,False,False
Hanumakonda,Kamalapur,2025-07-06,0.0,37.7,84.4,2025-07,False,False,False
Hanumakonda,Kamalapur,2025-06-06,0.0,42.6,80.7,2025-06,False,False,False
Hanumakonda,Kamalapur,2025-03-06,0.0,46.4,79.9,2025-03,False,False,False
Hanumakonda,Kamalapur,2025-05-06,0.0,44.3,76.3,2025-05,False,False,False
Hanumakonda,Kamalapur,2025-11-06,2.4,54.1,100.0,2025-11,False,False,False
Hanumakonda,Kamalapur,2025-10-06,0.0,70.2,98.6,2025-10,False,False,False
Hanumakonda,Kamalapur,2025-09-06,1.2,35.9,91.1,2025-09,False,False,False
Hanumakonda,Kamalapur,2025-06-13,1.6,62.8,99.1,2025-06,False,False,False
Hanumakonda,Kamalapur,2025-06-14,3.3,55.0,100.0,2025-06,False,False,False
Hanumakonda,Kamalapur,2025-06-15,0.0,62.3,100.0,2025-06,False,False,False
Hanumakonda,Kamalapur,2025-06-16,0.0,65.6,91.9,2025-06,False,False,False
Hanumakonda,Kamalapur,2025-06-17,0.0,62.3,85.5,2025-06,False,False,False
