district,mandal,date,rain_(mm),min_humidity_(%),max_humidity_(%),date_yyyy_mm
Adilabad,21,2025-06-27,1.0,80.6,96.9,2025-06
Adilabad,21,2025-06-28,0.8,73.6,92.0,2025-06
Adilabad,21,2025-06-29,0.0,63.6,90.7,2025-06
Adilabad,21,2025-06-30,3.5,76.6,94.9,2025-06
Adilabad,Adilabad Rural,2025-04-06,0.0,39.5,79.2,2025-04
Adilabad,Adilabad Rural,2025-08-06,0.0,35.2,66.8,2025-08
Adilabad,Adilabad Rural,2025-12-06,0.0,65.7,95.4,2025-12
Adilabad,Adilabad Rural,2025-02-06,0.0,36.8,69.5,2025-02
Adilabad,Adilabad Rural,2025-01-06,0.0,49.9,78.9,2025-01
Adilabad,Adilabad Rural,2025-07-06,0.0,36.8,70.4,2025-07
Adilabad,Adilabad Rural,2025-06-06,0.0,52.5,78.3,2025-06
Adilabad,Adilabad Rural,2025-03-06,0.0,47.2,69.1,2025-03
Adilabad,Adilabad Rural,2025-05-06,0.0,40.5,77.6,2025-05
Adilabad,Adilabad Rural,2025-11-06,8.7,61.7,99.3,2025-11
Adilabad,Adilabad Rural,2025-10-06,39.7,52.3,95.1,2025-10
Adilabad,Adilabad Rural,2025-09-06,1.0,33.7,74.2,2025-09
Adilabad,Adilabad Rural,2025-06-13,22.9,62.2,100.0,2025-06
Adilabad,Adilabad Rural,2025-06-14,10.6,70.1,99.1,2025-06
Adilabad,Adilabad Rural,2025-06-15,0.0,56.9,86.6,2025-06
Adilabad,Adilabad Rural,2025-06-16,0.0,63.7,87.6,2025-06
Adilabad,Adilabad Rural,2025-06-17,3.5,64.7,99.3,2025-06
Adilabad,Adilabad Rural,2025-06-18,0.0,51.9,77.7,2025-06
Adilabad,Adilabad Rural,2025-06-19,0.4,60.1,79.6,2025-06
Adilabad,Adilabad Rural,2025-06-20,8.4,67.7,98.8,2025-06
Adilabad,Adilabad Rural,2025-06-21,0.0,53.4,82.0,2025-06
Adilabad,Adilabad Rural,2025-06-22,9.6,59.1,100.0,2025-06
Adilabad,Adilabad Rural,2025-06-23,5.3,57.0,99.9,2025-06
Adilabad,Adilabad Rural,2025-06-24,5.2,70.1,99.9,2025-06
Adilabad,Adilabad Rural,2025-06-25,13.1,67.3,100.0,2025-06
Adilabad,Adilabad Rural,2025-06-26,89.4,73.0,100.0,2025-06
Adilabad,Adilabad Rural,2025-06-27,0.9,81.8,100.0,2025-06
Adilabad,Adilabad Rural,2025-06-28,8.3,75.8,100.0,2025-06
Adilabad,Adilabad Rural,2025-06-29,0.0,63.6,89.7,2025-06
